amakozug,1997-09-01
umovevuk,1973-03-07
eguzogub,2000-10-22
emanunog,1966-07-22
onabenov,1978-11-27
enagaguk,1994-09-14
ebogomem,1976-01-14
uvenokub,1984-07-17
ozovenob,1995-03-15
enebegun,1993-03-17
ugemagum,1995-08-21
omemabev,1984-12-15
odudavam,1999-06-21
emekokuv,1963-11-07
onomuveb,1990-12-22
ododamon,1972-05-28
ezukaked,1974-06-18
uvamegum,1967-02-22
odekumek,1978-06-04
edagebad,1994-12-27
egogozod,1998-07-20
aduganuz,1984-03-02
evadagok,1972-02-25
eganavud,1970-07-04
obebadon,1992-01-07
ozekegog,1965-10-04
adezomom,1995-09-01
unedadab,1969-04-06
egevozuv,1998-03-05
ekuganun,1996-03-03
umogomed,1970-02-13
adozomak,1972-05-05
ukagonob,1960-02-12
ovovanuk,1961-02-07
evudumen,1964-01-26
agodemez,1974-07-27
ezonodug,1974-03-02
uzononeg,2000-02-03
agekodad,1962-04-25
onazavoz,1988-09-13
ekonenez,1961-04-20
azugonen,1972-01-21
anonokom,1961-04-23
onagumob,1982-01-27
unedodad,1967-05-08
avunovak,1968-11-12
ogabegeb,1998-09-05
avuvoduk,1965-11-05
ovukaded,1986-08-04
uvogevag,2000-10-15
ezoveven,1993-10-10
edavomov,1965-07-21
onenozeb,1976-01-05
abenanov,1989-01-13
agenoged,1985-09-13
ogazedum,1960-08-07
ozakubad,1972-02-22
evebudeg,1976-08-05
evomudaz,1960-11-04
unobuvak,1966-03-15
obedozan,1975-01-09
uvogeman,1992-07-16
onebevog,1976-07-27
ozomegaz,2000-07-12
udaguvom,1968-01-25
egogakem,2000-12-14
akagozav,1980-03-14
ababozom,1976-08-17
ebebudun,1963-09-26
ekomagog,1991-04-25
aveduzem,1988-06-25
azokenem,1965-09-25
obegenak,1978-04-08
amokugod,1967-09-13
akugodov,1979-12-24
agevedum,1969-11-08
enobuvev,1974-02-27
abavazav,1975-05-14
omanubog,1997-09-26
ogozevam,1966-07-21
akanokuv,1993-03-03
ekuzaned,1996-06-17
anakamad,1972-03-06
onubezem,1962-03-16
ugogegeg,1975-11-01
agabanab,1967-08-05
umenuvem,1961-11-20
ogugudov,1975-03-02
akezedod,1995-02-08
onanovuv,1975-03-05
obudokoz,1984-11-24
azogumug,1960-08-05
unekugum,1986-09-25
udanevob,1967-11-23
odokudag,1975-05-03
okodavav,1999-01-11
uvazazed,1989-12-28
evadakud,1984-07-24
agukovon,1970-06-10
avegumad,1981-10-23
abobator,1993-06-25
bobagovr,1989-07-19
